Table S1. Parameter estimates and standard errors for logistic curves fit to changing variant proportion in each state. ,,,,,,,,,,,,,,,,,,,
"States are grouped by census geographic region. Slope, time to 10% and time to 50% variant proportions are shown for Delta and Omicron.",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,Delta,,,,,,Omicron,,,,,,,,,,,,
AZ,20.97,2.17,8.55,0.24,12.08,0.099,47.09,3.75,2.272,0.0621,3.371,0.032,,,,,,,
CO,20.6,1.32,4.72,0.13,8.03,0.059,50.4,0.67,2.022,0.0114,2.908,0.007,,,,,,,
ID,64.23,16.92,12.36,0.314,14.76,0.09,47.82,9.79,2.25,0.195,3.179,0.103,,,,,,,
NM,36.27,5,7.54,0.225,10.9,0.079,54.08,7.58,3.01,0.103,4.21,0.046,,,,,,,
MT,45.25,10.26,2.11,0.321,6.35,0.107,47.64,3.18,0.309,0.0669,1.24,0.0397,,,,,,,
NV,27.59,4.05,7.82,0.23,10.34,0.095,70.27,7.98,2.43,0.0769,3.34,0.0301,,,,,,,
UT,22.81,3.31,6.12,0.31,9.09,0.11,83.88,12.14,2.41,0.09,3.35,0.035,,,,,,,
WY,19.46,2.94,3.08,0.289,5.83,0.133,64.75,6.25,1.79,0.065,2.48,0.045,,,,,,,
Pacific,,,,,,,,,,,,,,,,,,,
AK,53.34,30.61,3.46,0.551,6.68,0.2,47.46,4.05,1.137,0.065,2.259,0.0337,,,,,,,
CA,21.7,1.51,10.17,0.16,14.05,0.064,57.39,3.42,2.031,0.0519,2.803,0.032,,,,,,,
HI,21.34,3.27,3.1,0.32,6.42,0.14,58.49,4.19,0.758,0.0557,1.518,0.036,,,,,,,
OR,16.55,1.77,10.4,0.31,13.06,0.19,42.31,1.07,2.1,0.029,3.15,0.017,,,,,,,
WA,30.9,3.57,8.51,0.22,12.22,0.078,44.15,2.46,1.47,0.044,2.53,0.023,,,,,,,
